"University","CostIState","CostOState","CollegeType","Undergraduates","EntranceDifficulty","AdmitRate","Applicants","City","State"
"northern michigan university",10490,15986,"public",8001,"minimally difficult",0.72,6848,"marquette","MI"
"greensboro college",29120,29120,"private",960,"minimally difficult",0.36,2687,"greensboro","NC"
"manhattan christian college",15418,15418,"private",327,"minimally difficult",0.6,162,"manhattan","KS"
"loyola university maryland",47725,47725,"private",4104,"moderately difficult",0.66,12727,"baltimore","MD"
"california state university fresno",6583,18463,"public",21528,"minimally difficult",0.54,18731,"fresno","CA"
"oklahoma baptist university",26840,26840,"private",1904,"moderately difficult",0.6,4955,"shawnee","OK"
"metropolitan state university of denver",7352,20149,"public",19940,"minimally difficult",0.64,7228,"denver","CO"
"marian university",33000,33000,"private",2147,"moderately difficult",0.59,2191,"indianapolis","IN"
"marian university",33000,33000,"private",1487,"moderately difficult",0.77,1245,"fond du lac","WI"
"mount mary university",29510,29510,"private",807,"moderately difficult",0.56,689,"milwaukee","WI"
"davis & elkins college",28992,28992,"private",640,"moderately difficult",0.75,351,"elkins","WV"
"kent state university",10012,18544,"public",23684,"moderately difficult",0.85,16145,"kent","OH"
"lawrence technological university",32130,32130,"private",2164,"moderately difficult",0.69,2318,"southfield","MI"
"harvey mudd college",54886,54886,"private",829,"most difficult",0.13,4180,"claremont","CA"
"dordt college",30000,30000,"private",1376,"moderately difficult",0.75,1355,"sioux center","IA"
"texas tech university",10771,23011,"public",29963,"moderately difficult",0.63,23311,"lubbock","TX"
"university of nebraska omaha",8207,22037,"public",12335,"minimally difficult",0.71,4955,"omaha","NE"
"oklahoma panhandle state university",7674,13233,"public",1387,"noncompetitive",1,316,"goodwell","OK"
"mount vernon nazarene university",28090,28090,"private",1831,"moderately difficult",0.74,1276,"mount vernon","OH"
"southern arkansas university",8346,12156,"public",3286,"moderately difficult",0.69,3460,"magnolia","AR"
"southwestern assemblies of god university",20410,20410,"private",1774,"noncompetitive",0.23,2097,"waxahachie","TX"
"memphis college of art",33100,33100,"private",366,"moderately difficult",0.38,958,"memphis","TN"
"university of puget sound",48090,48090,"private",2508,"moderately difficult",0.83,6098,"tacoma","WA"
"xavier university of louisiana",23606,23606,"private",2327,"moderately difficult",0.48,6640,"new orleans","LA"
"master's college",33020,33020,"private",1390,"moderately difficult",0.83,446,"santa clarita","CA"
"washburn university",8540,19190,"public",5793,"noncompetitive",0.99,1458,"topeka","KS"
"new jersey city university",11762,21052,"public",6663,"moderately difficult",0.85,3987,"jersey city","NJ"
"university of san diego",47708,47708,"private",5711,"very difficult",0.51,14413,"san diego","CA"
"black hills state university",8602,11602,"public",4020,"",NA,NA,"spearfish","SD"
"california state university bakersfield",7142,19022,"public",8093,"",1,5756,"bakersfield","CA"
"university of texas tyler",7822,20872,"public",6318,"moderately difficult",0.64,2468,"tyler","TX"
"pacific northwest college of art",36724,36724,"private",405,"minimally difficult",0.95,312,"portland","OR"
"university of houston downtown",7511,19961,"public",12865,"noncompetitive",0.83,4187,"houston","TX"
"university of minnesota morris",13072,15092,"public",1771,"moderately difficult",0.58,3414,"morris","MN"
"dickinson state university",6554,9226,"public",1381,"minimally difficult",0.92,362,"dickinson","ND"
"university of texas san antonio",9380,23379,"public",24724,"moderately difficult",0.76,15500,"san antonio","TX"
"dominican university of california",44690,44690,"private",1391,"moderately difficult",0.78,2049,"san rafael","CA"
"indiana university south bend",7207,19038,"public",6653,"moderately difficult",0.77,2451,"south bend","IN"
"adams state university",9440,20456,"public",2002,"moderately difficult",0.99,1957,"alamosa","CO"
"georgetown college",37160,37160,"private",986,"moderately difficult",0.66,2127,"georgetown","KY"
"university of texas health science center houston",5976,25986,"public",677,"moderately difficult",NA,NA,"houston","TX"
"university of louisville",11264,26286,"public",15827,"moderately difficult",0.73,10165,"louisville","KY"
"university of the incarnate word",29990,29990,"private",6423,"moderately difficult",0.93,3887,"san antonio","TX"
"florida institute of technology",41240,41240,"private",3629,"moderately difficult",0.61,9503,"melbourne","FL"
"rose-hulman institute of technology",47997,47997,"private",2202,"very difficult",0.61,4241,"terre haute","IN"
"minneapolis college of art & design",37812,37812,"private",690,"moderately difficult",0.88,473,"minneapolis","MN"
"marshall university",7798,17856,"public",9615,"moderately difficult",0.89,4891,"huntington","WV"
"dominican college",28448,28448,"private",1478,"noncompetitive",0.75,1751,"orangeburg","NY"
"college for creative studies",42460,42460,"private",1401,"moderately difficult",0.46,1388,"detroit","MI"
"university of central oklahoma",7100,17447,"public",15067,"minimally difficult",0.7,5122,"edmond","OK"
"la sierra university",32130,32130,"private",2103,"minimally difficult",0.45,4328,"riverside","CA"
"fairmont state university",7296,15398,"public",3807,"minimally difficult",0.66,2943,"fairmont","WV"
"franklin university",15295,15295,"private",4676,"noncompetitive",NA,NA,"columbus","OH"
"wofford college",41955,41955,"private",1622,"very difficult",0.7,2937,"spartanburg","SC"
"newberry college",25900,25900,"private",1070,"moderately difficult",0.6,1445,"newberry","SC"
"davidson college",49949,49949,"private",1796,"very difficult",0.2,5618,"davidson","NC"
"shepherd university",7328,17873,"public",3436,"moderately difficult",0.92,1546,"shepherdstown","WV"
"lewis-clark state college",6334,18410,"public",3633,"minimally difficult",0.99,1117,"lewiston","ID"
"mary baldwin university",31040,31040,"private",1310,"moderately difficult",0.99,2706,"staunton","VA"
"marian university",27400,27400,"private",2147,"moderately difficult",0.59,2191,"indianapolis","IN"
"marian university",27400,27400,"private",1487,"moderately difficult",0.77,1245,"fond du lac","WI"
"northwest university",30320,30320,"private",1820,"moderately difficult",0.99,525,"kirkland","WA"
"gardner-webb university",30310,30310,"private",2343,"moderately difficult",0.1,4310,"boiling springs","NC"
"university of maryland eastern shore",8042,18048,"public",3758,"moderately difficult",0.57,4409,"princess anne","MD"
"california state university northridge",6870,18750,"public",35552,"moderately difficult",0.48,32913,"northridge","CA"
"western washington university",7932,22444,"public",14592,"moderately difficult",0.83,10519,"bellingham","WA"
"st. cloud state university",8113,16346,"public",13236,"moderately difficult",0.85,6986,"st cloud","MN"
"oklahoma wesleyan university",26090,26090,"private",1229,"minimally difficult",0.85,235,"bartlesville","OK"
"luther college",41020,41020,"private",2169,"moderately difficult",0.68,3856,"decorah","IA"
"cornish college of the arts",39864,39864,"private",720,"moderately difficult",0.66,1139,"seattle","WA"
"angelo state university",8216,20666,"public",8094,"moderately difficult",0.74,4368,"san angelo","TX"
"university of california riverside",13917,41931,"public",19799,"very difficult",0.66,42629,"riverside","CA"
"university of montana western",5502,16644,"public",1505,"minimally difficult",0.73,785,"dillon","MT"
"texas wesleyan university",27392,27392,"private",1905,"moderately difficult",0.41,2959,"fort worth","TX"
"university of mobile",22210,22210,"private",1376,"moderately difficult",0.62,935,"mobile","AL"
"east tennessee state university",9015,27693,"public",11065,"moderately difficult",0.8,6835,"johnson city","TN"
"university of california santa cruz",13969,41983,"public",16231,"very difficult",0.51,44871,"santa cruz","CA"
"notre dame de namur university",34486,34486,"private",1213,"moderately difficult",0.87,1922,"belmont","CA"
"sterling college",24985,24985,"private",119,"",NA,NA,"craftsbury common","VT"
"sterling college",24985,24985,"private",650,"minimally difficult",0.37,1033,"sterling","KS"
"our lady of the lake university",28192,28192,"private",1347,"",NA,NA,"san antonio","TX"
"flagler college",18300,18300,"private",2614,"",0.55,4794,"st augustine","FL"
"new mexico institute of mining & technology",7183,20991,"public",1569,"moderately difficult",0.23,1663,"socorro","NM"
"southern utah university",6676,20288,"public",8407,"moderately difficult",0.72,10573,"cedar city","UT"
"san diego christian college",30438,30438,"private",880,"minimally difficult",0.52,433,"santee","CA"
"mayville state university",6456,9084,"public",1056,"noncompetitive",0.57,413,"mayville","ND"
"ottawa university",28550,28550,"private",531,"moderately difficult",0.7,1419,"ottawa","KS"
"oregon state university",10797,29457,"public",25327,"moderately difficult",0.77,14595,"corvallis","OR"
"south dakota school of mines & technology",9627,13806,"public",2485,"moderately difficult",0.85,1368,"rapid city","SD"
"university of alaska southeast",7710,23100,"public",3073,"noncompetitive",NA,NA,"juneau","AK"
"central washington university",7849,21956,"public",11047,"moderately difficult",0.79,7340,"ellensburg","WA"
"wayne state college",6824,11984,"public",2837,"noncompetitive",1,1764,"wayne","NE"
"george fox university",35016,35016,"private",2569,"moderately difficult",0.78,2980,"newberg","OR"
"california lutheran university",41363,41363,"private",2892,"moderately difficult",0.64,6013,"thousand oaks","CA"
"portland state university",9030,26130,"public",21633,"moderately difficult",0.89,6373,"portland","OR"
"dakota state university",9147,12077,"public",2844,"minimally difficult",0.81,911,"madison","SD"
"earlham college",45750,45750,"private",1031,"very difficult",0.58,2917,"richmond","IN"
"kansas wesleyan university",28980,28980,"private",693,"moderately difficult",0.55,805,"salina","KS"
"prairie view a&m university",9959,23488,"public",7455,"moderately difficult",0.85,5660,"prairie view","TX"
"letourneau university",29320,29320,"private",2253,"moderately difficult",0.44,1842,"longview","TX"
"corban university",31640,31640,"private",1022,"moderately difficult",0.35,2474,"salem","OR"
"university of kansas",10824,26592,"public",19262,"moderately difficult",0.93,15015,"lawrence","KS"
"illinois wesleyan university",45856,45856,"private",1771,"very difficult",0.58,3841,"bloomington","IL"
"grand view university",26516,26516,"private",1910,"minimally difficult",0.97,886,"des moines","IA"
"university of florida",6381,28658,"public",34554,"very difficult",0.46,30118,"gainesville","FL"
"eastern kentucky university",9296,19074,"public",14327,"minimally difficult",0.71,10215,"richmond","KY"
"muskingum university",28062,28062,"private",1549,"moderately difficult",0.77,1819,"new concord","OH"
"stillman college",10938,10938,"private",1072,"minimally difficult",0.44,3491,"tuscaloosa","AL"
"d'youville college",25870,25870,"private",1716,"moderately difficult",0.83,927,"buffalo","NY"
"maryville university of saint louis",28470,28470,"private",2967,"moderately difficult",0.93,1846,"st louis","MO"
"west texas a&m university",7557,9418,"public",7389,"moderately difficult",0.6,6163,"canyon","TX"
"college of mount st. joseph",29100,29100,"private",1336,"minimally difficult",0.88,1029,"cincinnati","OH"
"marygrove college",22750,22750,"private",780,"moderately difficult",0.42,548,"detroit","MI"
"sam houston state university",9891,22341,"public",17902,"moderately difficult",0.72,12540,"huntsville","TX"
"hannibal-lagrange university",21710,21710,"private",1303,"minimally difficult",NA,NA,"hannibal","MO"
"east texas baptist university",25470,25470,"private",1339,"moderately difficult",0.51,1397,"marshall","TX"
"northeastern illinois university",13420,24739,"public",7665,"minimally difficult",0.71,6203,"chicago","IL"
"san diego state university",7460,19340,"public",29853,"moderately difficult",0.35,60691,"san diego","CA"
"university of mary",17980,17980,"private",2049,"minimally difficult",0.96,900,"bismarck","ND"
"eastern michigan university",13438,30619,"public",17541,"moderately difficult",0.73,14736,"ypsilanti","MI"
"judson university",29434,29434,"private",1123,"moderately difficult",0.75,676,"elgin","IL"
"principia college",28920,28920,"private",479,"moderately difficult",0.91,165,"elsah","IL"
"minnesota state university moorhead",8467,15876,"public",5205,"moderately difficult",0.6,4261,"moorhead","MN"
"heidelberg university",30200,30200,"private",1123,"moderately difficult",0.79,1663,"tiffin","OH"
"university of evansville",35396,35396,"private",2348,"moderately difficult",0.71,4033,"evansville","IN"
"national louis university",18000,18000,"private",1463,"minimally difficult",0.8,401,"chicago","IL"
"eureka college",25390,25390,"private",672,"minimally difficult",0.65,1046,"eureka","IL"
"case western reserve university",47500,47500,"private",5152,"very difficult",0.35,23115,"cleveland","OH"
